iteration,temps_border_ms,temps_move_ms,temps_migrate_ms,temps_evap_ms,food_quantity
299,0.019292,0.141125,0.104875,0.031292,0
300,0.012166,0.144041,0.113292,0.031958,0
301,0.012167,0.144792,0.116500,0.031000,0
302,0.011916,0.143667,0.113208,0.030667,0
303,0.012000,0.145458,0.115375,0.030958,0
304,0.011917,0.143375,0.113583,0.031834,0
305,0.012000,2.067125,2.040583,0.031541,0
306,0.012667,0.143458,0.113667,0.031333,0
307,0.012542,0.144875,0.114958,0.031750,0
308,0.012125,0.146791,0.117125,0.030833,0
309,0.012000,0.143958,0.112458,0.032041,0
310,0.012459,0.145167,0.114250,0.030750,0
311,0.012375,0.145000,0.115917,0.031458,0
312,0.011833,0.141834,0.111042,0.030875,0
313,0.012416,0.141500,0.111208,0.031584,0
314,0.012417,0.144167,0.111667,0.031833,0
315,0.011667,0.215458,0.190167,0.031167,0
316,0.012583,0.144875,0.113958,0.030625,0
317,0.012416,0.143500,0.112917,0.032042,0
318,0.012417,0.591292,0.612458,0.019958,0
319,0.029500,0.223375,0.199500,0.031083,0
320,0.012875,0.160667,0.131250,0.031125,0
321,0.011625,0.149625,0.126375,0.040542,0
322,0.012875,0.154125,0.121000,0.029792,0
323,0.015791,0.147166,0.116166,0.031291,0
324,0.012375,0.148583,0.116667,0.030833,0
325,0.019125,0.145250,0.121417,0.031667,0
326,0.023375,0.144667,0.104583,0.031250,0
327,0.011958,0.149083,0.119709,0.031125,0
328,0.011750,0.147791,0.116334,0.030958,0
329,0.012625,0.148209,0.116250,0.031084,0
330,0.012083,0.146958,0.115959,0.030750,0
331,0.012916,0.147875,0.114292,1.929708,0
332,0.012209,0.153125,0.121917,0.031625,0
333,0.011791,0.145959,0.115125,0.030667,0
334,0.012291,0.146333,0.115208,0.030834,0
335,0.012208,0.144625,0.113709,0.031167,0
336,0.012458,0.145042,0.113541,0.031125,0
337,0.025791,0.140959,0.123166,0.031375,0
338,0.011584,0.187666,0.161000,0.031666,0
339,0.025541,0.147084,0.106833,0.031041,0
340,0.011542,0.147125,0.116791,0.031084,0
341,0.011792,0.421250,0.422208,0.024459,0
342,0.017833,0.178833,0.144750,0.030292,0
343,0.012541,0.152708,0.224750,0.022833,0
344,0.035417,1.374041,1.352333,0.031709,0
345,0.018708,0.156958,0.133000,0.031292,0
346,0.012000,0.625125,0.607750,0.033042,0
347,0.048750,0.587083,4.648042,0.024708,0
348,0.019459,0.246750,0.216625,0.031459,0
349,0.012291,0.159625,0.127542,0.031417,0
350,0.011750,0.151084,0.120208,0.031625,0
351,0.012167,0.150750,0.120708,0.031792,0
352,0.011958,0.147250,0.116416,0.030750,0
353,0.012167,0.148750,0.160375,0.023250,0
354,0.018250,0.213292,0.190583,0.027416,0
355,0.011917,0.158250,0.189916,0.021042,0
356,0.016667,0.160333,0.134209,0.030833,0
357,0.012125,0.148041,0.117709,0.031167,0
358,0.024459,0.142750,0.117000,0.031333,0
359,0.020291,3.078166,3.060750,0.034375,0
360,0.021167,0.177125,0.146625,0.030333,0
361,0.012084,1.471000,1.444875,0.030584,0
362,0.012042,0.151208,0.121625,0.030250,0
363,0.011791,0.149958,0.122333,0.030041,0
364,0.011750,0.144458,0.114209,0.031375,0
365,0.011958,0.142125,0.113250,0.030458,0
366,0.011583,0.143167,0.115958,0.030458,0
367,0.012083,0.143500,0.112458,0.031125,0
368,0.011542,0.142875,0.118875,0.030292,0
369,0.011167,0.142958,0.113833,0.030750,0
370,0.011250,0.142000,0.113084,0.030542,0
371,0.012125,0.142250,0.111584,0.031625,0
372,0.011208,0.138958,0.108209,0.030292,0
373,0.018792,0.158083,0.129958,0.030458,0
374,0.011500,0.140833,0.111375,0.030375,0
375,0.011666,0.140667,0.110375,0.030750,0
376,0.011416,0.138708,0.109000,0.031250,0
377,0.011291,0.136625,0.106541,0.030542,0
378,0.011750,0.136542,0.106458,0.030833,0
379,0.011667,0.135208,0.104042,0.030583,0
380,0.011333,0.138083,0.131292,0.024291,0
381,0.016958,0.456750,0.427792,0.032375,0
382,0.011625,1.899250,1.871333,0.034000,0
383,0.013625,0.154792,0.125125,0.036792,0
384,0.013167,0.198584,0.171333,0.032084,0
385,0.039125,0.167375,0.138958,0.029792,0
386,0.011750,0.141709,0.113250,0.031500,0
387,0.011459,0.138708,0.108375,0.031042,0
388,0.011125,0.185458,0.154000,0.027375,0
389,0.021250,0.198542,0.180500,0.030291,0
390,0.012583,0.157666,0.128250,0.031083,0
391,0.012792,0.155959,0.126291,0.030000,0
392,0.031708,0.147417,0.114875,0.030791,0
393,0.022708,0.148750,0.131667,0.030792,0
394,0.012291,0.148875,0.118708,0.030917,0
395,0.011958,0.148541,0.118750,0.030292,0
396,0.012042,0.151417,0.120667,0.031250,0
397,0.011958,1.521084,1.498916,0.030625,0
398,0.013917,0.159750,0.129542,0.032292,0
399,0.011958,0.152917,0.123542,0.030750,0
400,0.018625,0.181458,0.150208,0.031125,0
401,0.011625,0.152792,0.123583,0.031250,0
402,0.012000,0.150334,0.120583,0.031375,0
403,0.011917,0.149625,0.120250,0.031625,0
404,0.011875,0.149500,0.452167,0.026083,0
405,0.012750,0.168500,0.141708,0.029833,0
406,0.012708,0.151917,0.123750,0.031083,0
407,0.011917,0.151125,0.121542,0.030750,0
408,0.025750,0.153250,1.768500,0.021084,0
409,0.012459,0.154750,0.124000,0.030959,0
410,0.019917,1.807875,1.787625,0.030333,0
411,0.038958,0.187958,0.189000,0.029917,0
412,0.011792,0.150542,0.122042,0.031333,0
413,0.024292,0.136834,0.120209,0.031041,0
414,0.020500,0.138084,0.116208,0.030291,0
415,0.012042,0.140375,0.110541,0.031250,0
416,0.011792,0.140458,0.110417,0.031459,0
417,0.011708,0.137834,0.108208,0.031083,0
418,0.011625,0.140125,0.109500,0.031042,0
419,0.011750,0.139208,0.110250,0.022500,0
420,0.012041,0.141583,0.110916,0.031333,0
421,0.011834,0.139417,0.109625,0.031375,0
