iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
203,0.657000,5.380000,3.120000,0.007000,0
204,0.716000,5.731000,2.976000,0.014000,0
205,0.649000,4.851000,3.363000,0.009000,0
206,0.634000,5.123000,3.276000,0.007000,0
207,0.666000,5.294000,3.392000,0.009000,0
208,0.652000,6.469000,3.100000,0.006000,0
209,0.674000,4.879000,3.383000,0.010000,0
210,0.731000,7.682000,3.182000,0.013000,0
211,0.672000,5.018000,3.004000,0.008000,0
212,0.817000,5.399000,2.961000,0.008000,0
213,0.653000,5.265000,3.637000,0.009000,0
214,0.721000,6.628000,3.931000,0.008000,0
215,0.685000,5.228000,3.220000,0.011000,0
216,0.736000,5.859000,3.532000,0.005000,0
217,0.760000,4.713000,3.448000,0.008000,0
218,0.658000,6.692000,3.004000,0.007000,0
219,0.737000,5.307000,3.399000,0.009000,0
220,0.688000,4.952000,4.265000,0.011000,0
221,0.677000,5.597000,2.865000,0.009000,0
222,0.646000,4.725000,2.822000,0.008000,0
223,0.513000,5.953000,2.803000,0.008000,0
224,0.616000,5.105000,5.229000,0.009000,0
225,0.653000,4.495000,2.946000,0.009000,0
226,0.607000,4.926000,3.133000,0.007000,0
227,0.663000,5.162000,3.262000,0.022000,0
228,0.704000,6.248000,3.119000,0.007000,0
229,0.698000,5.669000,3.131000,0.007000,0
230,0.688000,4.988000,2.875000,0.009000,0
231,0.818000,4.840000,2.778000,0.008000,0
232,0.735000,4.618000,3.447000,0.007000,0
233,0.688000,5.703000,3.061000,0.008000,0
234,0.651000,4.799000,2.836000,0.007000,0
235,1.007000,5.449000,2.739000,0.008000,0
236,0.633000,4.832000,2.864000,0.009000,0
237,0.794000,4.541000,2.775000,0.009000,0
238,0.661000,4.823000,3.471000,0.005000,0
239,0.677000,4.710000,3.326000,0.009000,0
240,0.631000,4.649000,2.691000,0.008000,0
241,0.628000,4.593000,2.527000,0.006000,0
242,0.652000,4.728000,2.770000,0.008000,0
243,0.678000,4.550000,2.710000,0.012000,0
244,0.636000,5.229000,3.006000,0.009000,0
245,0.662000,5.091000,2.795000,0.008000,0
246,0.711000,5.429000,3.216000,0.006000,0
247,0.601000,5.307000,2.854000,0.009000,0
