iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
354,16.756,3.904,0.306,0.002,12.502,0
355,16.526,2.575,0.324,0.002,13.605,0
356,16.783,3.825,0.303,0.002,12.622,0
357,16.565,2.570,0.317,0.002,13.664,0
358,16.813,3.849,0.302,0.002,12.624,0
359,16.569,3.733,0.300,0.002,12.488,0
360,16.737,3.761,0.338,0.002,12.594,0
361,16.435,2.600,0.310,0.002,13.506,0
362,16.829,3.628,0.302,0.002,12.868,0
363,16.474,2.572,0.316,0.002,13.569,0
364,16.831,3.728,0.303,0.002,12.760,0
365,16.659,2.579,0.308,0.002,13.754,0
366,16.647,2.568,0.304,0.002,13.761,0
367,16.508,2.587,0.299,0.002,13.610,0
368,16.827,3.586,0.308,0.001,12.903,0
369,16.472,2.572,0.316,0.002,13.567,0
370,17.039,3.796,0.296,0.002,12.906,0
371,16.340,2.579,0.308,0.002,13.437,0
372,16.779,3.797,0.318,0.002,12.624,0
373,16.538,2.593,0.311,0.002,13.618,0
374,16.761,3.492,0.310,0.002,12.927,0
375,16.592,2.574,0.316,0.002,13.687,0
376,16.747,3.691,0.302,0.003,12.715,0
377,16.638,2.635,0.311,0.002,13.676,0
378,16.782,2.613,0.317,0.002,13.838,0
379,16.537,3.348,0.302,0.002,12.847,0
380,16.492,2.570,0.298,0.002,13.607,0
381,16.746,3.629,0.300,0.002,12.776,0
382,16.663,2.556,0.320,0.001,13.772,0
383,16.630,2.600,0.297,0.002,13.718,0
384,16.659,2.586,0.298,0.001,13.762,0
385,16.734,3.822,0.312,0.002,12.561,0
386,16.473,2.539,0.309,0.002,13.612,0
387,16.664,4.002,0.302,0.002,12.323,0
388,16.674,3.873,0.316,0.002,12.445,0
389,16.802,3.821,0.317,0.002,12.623,0
390,16.770,2.604,0.315,0.002,13.831,0
391,16.515,3.898,0.298,0.002,12.280,0
392,16.797,2.608,0.293,0.001,13.882,0
393,16.559,3.884,0.304,0.002,12.335,0
394,16.752,2.591,0.315,0.002,13.831,0
395,16.352,4.054,0.300,0.002,11.957,0
396,16.852,3.840,0.302,0.003,12.671,0
397,16.484,2.621,0.311,0.002,13.534,0
398,16.809,3.614,0.304,0.006,12.849,0
399,16.725,2.565,0.311,0.002,13.834,0
400,16.432,2.604,0.308,0.001,13.507,0
401,16.820,3.828,0.302,0.002,12.648,0
402,16.782,2.595,0.308,0.001,13.866,0
403,16.540,3.957,0.299,0.002,12.243,0
404,16.508,2.641,0.313,0.002,13.540,0
405,16.772,3.859,0.305,0.002,12.568,0
406,16.509,2.637,0.324,0.002,13.533,0
407,16.814,3.968,0.302,0.002,12.506,0
408,16.680,2.613,0.315,0.002,13.738,0
409,16.565,3.928,0.312,0.002,12.288,0
410,16.803,2.652,0.318,0.001,13.820,0
411,16.542,3.947,0.304,0.002,12.257,0
412,16.464,2.649,0.315,0.001,13.487,0
413,16.808,3.976,0.302,0.002,12.492,0
414,16.497,2.604,0.318,0.002,13.559,0
415,16.679,4.048,0.302,0.002,12.291,0
416,16.720,4.071,0.301,0.002,12.312,0
417,16.741,3.860,0.300,0.001,12.549,0
418,16.489,2.657,0.328,0.002,13.487,0
419,16.696,4.068,0.301,0.002,12.289,0
420,16.636,3.875,0.322,0.001,12.402,0
421,16.849,3.477,0.290,0.001,13.046,0
422,16.476,2.633,0.312,0.002,13.516,0
423,16.863,3.873,0.296,0.003,12.661,0
424,16.440,2.588,0.325,0.002,13.513,0
425,16.568,3.778,0.300,0.002,12.449,0
426,16.882,2.638,0.318,0.002,13.909,0
427,16.671,2.615,0.309,0.001,13.734,0
428,16.501,2.592,0.301,0.002,13.595,0
429,16.665,4.041,0.296,0.002,12.296,0
430,16.926,3.726,0.305,0.006,12.855,0
431,16.579,3.371,0.304,0.002,12.866,0
432,16.617,2.531,0.307,0.001,13.764,0
433,16.681,3.887,0.303,0.002,12.450,0
434,16.512,2.618,0.307,0.002,13.572,0
435,16.764,3.541,0.310,0.006,12.871,0
436,16.451,2.592,0.315,0.002,13.526,0
437,16.815,3.638,0.302,0.002,12.837,0
438,16.641,2.624,0.316,0.002,13.686,0
439,16.657,2.593,0.296,0.002,13.753,0
440,16.533,2.596,0.299,0.001,13.627,0
441,16.780,3.921,0.307,0.002,12.519,0
442,16.660,2.616,0.315,0.002,13.714,0
443,16.694,2.447,0.312,0.001,13.910,0
444,16.898,2.018,0.352,0.002,14.508,0
445,16.820,2.158,0.356,0.002,14.282,0
446,16.418,1.964,0.241,0.001,14.192,0
447,16.533,2.014,0.247,0.001,14.254,0
448,16.632,2.188,0.258,0.002,14.172,0
449,16.641,2.173,0.254,0.002,14.190,0
450,16.755,2.197,0.309,0.002,14.235,0
451,16.566,2.718,0.301,0.002,13.531,0
452,16.539,2.627,0.318,0.002,13.578,0
453,16.766,3.800,0.310,0.002,12.621,0
454,16.526,2.644,0.317,0.002,13.550,0
455,16.814,3.939,0.312,0.002,12.522,0
456,16.512,2.631,0.313,0.002,13.553,0
457,16.778,3.813,0.310,0.002,12.614,0
458,16.491,2.628,0.312,0.002,13.537,0
459,16.665,3.974,0.315,0.002,12.340,0
460,16.823,3.395,0.334,0.002,13.059,0
461,16.503,2.653,0.306,0.002,13.524,0
462,16.777,3.778,0.314,0.002,12.643,0
463,16.609,2.647,0.309,0.002,13.634,0
464,16.512,2.653,0.304,0.001,13.540,0
465,16.857,3.812,0.307,0.002,12.701,0
466,16.482,2.623,0.300,0.002,13.543,0
467,16.636,4.009,0.311,0.002,12.277,0
468,16.824,3.849,0.308,0.002,12.634,0
469,16.651,2.684,0.318,0.002,13.632,0
470,16.711,2.637,0.303,0.002,13.755,0
471,16.474,2.615,0.296,0.001,13.550,0
472,16.787,3.797,0.315,0.002,12.636,0
473,16.563,2.636,0.308,0.002,13.605,0
474,16.814,3.481,0.315,0.002,12.978,0
475,16.743,2.615,0.318,0.002,13.792,0
476,16.368,3.954,0.313,0.002,12.062,0
477,16.825,3.796,0.305,0.002,12.684,0
478,16.632,2.578,0.321,0.002,13.717,0
479,16.513,2.602,0.299,0.002,13.598,0
480,16.647,3.989,0.313,0.002,12.305,0
481,16.836,3.844,0.329,0.002,12.624,0
482,16.650,2.603,0.321,0.001,13.706,0
483,16.651,2.620,0.302,0.002,13.716,0
484,16.508,2.584,0.301,0.002,13.611,0
485,16.810,3.730,0.308,0.002,12.733,0
486,16.676,2.577,0.316,0.002,13.767,0
487,16.540,2.586,0.304,0.002,13.637,0
488,16.779,3.796,0.310,0.002,12.632,0
489,16.588,2.590,0.333,0.002,13.650,0
