iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
199,1.805700,1.295200,2.452700,0.005800,0
200,1.809800,1.245900,2.555700,0.006300,0
201,1.843700,1.274500,2.488200,0.005900,0
202,1.813100,1.278500,2.446300,0.005800,0
203,1.816100,1.261000,2.675300,0.005700,0
204,1.779900,1.484400,3.054800,0.005700,0
205,1.799600,1.247600,2.403800,0.006100,0
206,1.839500,1.269300,2.447600,0.005700,0
207,1.672000,1.271700,2.481300,0.005800,0
208,1.866300,1.277700,2.726300,0.005800,0
209,1.790700,1.310400,2.430400,0.005700,0
210,1.767400,1.275400,2.438000,0.005800,0
211,1.835400,1.450100,2.496700,0.010600,0
212,1.826200,1.286500,2.491800,0.005900,0
213,1.806100,1.281700,2.423300,0.006100,0
214,1.947200,1.484200,2.732900,0.006100,0
215,1.888600,1.406400,2.684500,0.006100,0
216,1.873900,1.426800,2.996400,0.006900,0
217,1.961700,1.478900,2.610600,0.005700,0
218,1.881500,1.384600,2.570800,0.006600,0
219,2.556100,1.500600,2.797200,0.006400,0
220,1.925700,1.413600,2.714100,0.006000,0
221,1.992300,1.633900,2.633900,0.006200,0
222,1.871400,1.351300,2.647700,0.006000,0
223,1.899400,1.379100,3.095200,0.007000,0
224,1.962700,1.440700,2.630600,0.006200,0
225,1.911800,1.371100,2.717000,0.006600,0
226,2.035700,1.466300,2.631600,0.005800,0
227,1.915500,1.424100,2.643200,0.006300,0
228,2.088900,1.359900,2.978900,0.007000,0
229,1.893900,1.439200,2.639300,0.006100,0
230,1.802200,1.400500,2.719000,0.006200,0
231,2.046700,1.472600,2.650500,0.005900,0
232,1.898900,1.346900,3.037800,0.006600,0
233,2.110400,1.438000,3.276300,0.007000,0
234,1.929700,1.473300,2.620600,0.006100,0
235,2.037700,1.397200,2.626200,0.006500,0
236,2.095400,1.452900,2.656200,0.006200,0
237,1.905500,1.255700,2.447200,0.006300,0
238,1.803300,1.318100,2.588200,0.006000,0
239,1.756800,1.292100,2.666800,0.005600,0
240,1.685300,1.273000,2.434500,0.006100,0
241,1.879900,1.290300,2.454200,0.006000,0
242,1.862900,1.354600,2.472300,0.005500,0
243,1.776400,1.286700,2.752200,0.005800,0
244,1.805200,1.318500,2.622000,0.005700,0
245,1.802400,1.310300,2.444400,0.006000,0
246,1.780200,1.502500,2.457500,0.006100,0
247,1.892800,1.346200,2.558900,0.005900,0
248,1.805600,1.280300,2.436400,0.005800,0
249,1.890400,1.265200,2.620700,0.006100,0
250,1.767700,1.319200,2.498100,0.006200,0
251,1.789900,1.296200,2.715800,0.006100,0
252,1.765700,1.251900,2.414500,0.005900,0
253,1.776400,1.261100,2.437300,0.005800,0
254,1.656100,1.392800,2.797400,0.006700,0
255,1.876400,1.277700,2.506700,0.005600,0
256,1.806300,1.260400,2.444600,0.005800,0
257,2.158700,1.281400,2.509000,0.005700,0
258,1.786100,1.216700,2.441200,0.005600,0
259,2.037700,1.526400,2.870400,0.005700,0
260,1.753900,1.241300,2.457600,0.006100,0
261,1.816000,1.322500,2.444300,0.005700,0
262,1.876600,1.241900,2.470500,0.005700,0
263,1.799100,1.226200,2.396000,0.005800,0
264,1.820600,1.208600,2.931000,0.007600,0
265,1.744200,1.247800,2.457600,0.006200,0
266,1.827900,1.296200,2.535000,0.006000,0
267,1.912300,1.424600,2.683100,0.006000,0
268,1.776100,1.260500,2.438000,0.005600,0
269,1.800000,1.268000,2.693400,0.005600,0
270,1.857200,1.369900,2.547800,0.006100,0
271,1.778100,1.246400,2.487300,0.005800,0
272,1.904800,1.269700,2.746400,0.005800,0
273,1.799100,1.267400,2.452800,0.006100,0
274,2.431000,1.473700,2.692400,0.005600,0
275,2.110300,1.441200,2.818800,0.005700,0
276,2.308500,1.795100,2.948300,0.007700,0
277,2.548100,1.392300,2.739000,0.005800,0
278,1.900500,1.387700,2.735000,0.005800,0
279,2.313300,1.579800,3.216300,0.006800,0
280,2.040600,1.914000,2.716600,0.005600,0
281,2.339300,1.611600,3.783500,0.008500,0
282,2.417900,1.836500,3.032900,0.005600,0
283,2.103600,1.469800,3.308200,0.006200,0
284,2.877100,1.844300,3.473100,0.011600,0
285,2.048700,1.723500,4.227100,0.009800,0
286,2.954200,1.806300,2.994600,0.005200,0
287,1.704900,1.315200,2.725900,0.006000,0
288,2.479800,1.775200,2.576600,0.005500,0
289,1.966200,1.529100,3.288800,0.009300,0
290,2.492100,1.724500,3.050100,0.005700,0
291,1.938700,1.400700,2.616200,0.005900,0
292,1.686300,1.335900,3.636900,0.007100,0
293,2.802100,1.295100,2.483500,0.005700,0
294,1.774400,1.249100,2.783400,0.005500,0
295,1.616700,1.472500,2.430600,0.005500,0
296,1.519900,1.139800,2.294500,0.005200,0
297,1.564600,1.059400,2.365000,0.006600,0
298,2.931000,1.179300,2.369400,0.005100,0
299,2.471100,1.294300,2.478400,0.005600,0
300,1.749100,1.364100,2.334700,0.005300,0
301,1.523800,1.128600,2.982800,0.006200,0
302,1.709800,1.306500,3.356300,0.010100,0
303,2.086800,1.737600,3.109200,0.007100,0
304,2.326100,1.504800,3.217600,0.006300,0
305,1.980600,1.573700,2.678100,0.005900,0
306,1.863600,1.415700,2.713300,0.006000,0
307,1.862100,1.150500,2.609800,0.006400,0
308,1.906300,1.224000,2.896400,0.006300,0
309,1.919800,1.302100,2.823900,0.005300,0
310,2.178300,1.753200,2.696000,0.005100,0
311,1.730600,1.182000,3.468900,0.006000,0
312,2.275500,1.851600,3.336000,0.024000,0
313,2.204500,1.683900,2.987600,0.005900,0
314,1.967600,1.445900,2.755900,0.005100,0
315,1.751300,1.130400,2.414200,0.006000,0
316,1.821100,1.245800,2.504400,0.006000,0
317,1.888400,1.317200,2.482800,0.005800,0
318,1.781500,1.250100,3.266100,0.005500,0
319,1.756500,1.274500,2.788600,0.005800,0
320,1.792900,1.227800,2.637900,0.005800,0
321,1.848000,1.248500,2.524400,0.005600,0
322,1.842600,1.378900,2.441700,0.005900,0
323,2.062400,1.377900,2.673600,0.007000,0
324,1.899400,1.370100,2.818700,0.007700,0
325,2.008700,1.468100,2.651900,0.006300,0
326,1.872600,1.341200,2.713400,0.005800,0
327,1.867100,1.492400,2.745700,0.006200,0
328,1.873000,1.346400,2.761800,0.006100,0
329,1.944700,1.388000,2.854200,0.006200,0
330,2.118600,1.380900,2.629800,0.005700,0
331,1.769400,1.457500,2.680300,0.006300,0
332,2.045000,1.472700,2.756100,0.007200,0
333,2.599900,1.437000,2.763900,0.005700,0
334,2.574300,3.351200,2.595700,0.006000,0
335,1.883700,1.447600,2.606400,0.006600,0
336,1.868500,1.479200,2.820500,0.008000,0
337,2.618300,1.427100,2.708500,0.006300,0
338,2.539700,1.559400,2.845100,0.041300,0
339,2.347200,1.387700,2.673800,0.006400,0
340,1.914800,1.370500,3.147700,0.006100,0
341,2.004800,1.421100,2.650400,0.006100,0
342,1.875500,1.333800,2.738300,0.006800,0
343,2.034900,1.428900,3.097100,0.006400,0
344,1.902600,1.393600,2.641700,0.006500,0
345,2.057300,1.356800,2.829600,0.006400,0
346,2.041400,1.381200,2.642900,0.006100,0
347,1.875700,1.465900,2.485200,0.005700,0
348,1.758200,1.224500,2.781400,0.005600,0
349,1.803600,1.230100,2.624600,0.007000,0
350,1.806200,1.262300,2.473300,0.005900,0
351,1.776100,1.295400,2.392300,0.005700,0
352,1.755700,1.313200,2.504700,0.005600,0
353,1.765000,1.286500,2.420300,0.006000,0
