iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,food_quantity
175,1.0410,0.9440,0.0970,0.0000,0
176,1.0380,0.9420,0.0960,0.0000,0
177,1.0550,0.9580,0.0960,0.0010,0
178,1.0720,0.9560,0.1150,0.0010,0
179,1.1360,1.0320,0.1030,0.0000,0
180,1.3160,0.9910,0.3220,0.0030,0
181,1.3260,1.2000,0.1250,0.0000,0
182,1.0930,0.9500,0.1430,0.0000,0
183,1.0540,0.9560,0.0970,0.0010,0
184,1.1150,1.0180,0.0970,0.0000,0
185,1.0560,0.9560,0.1000,0.0000,0
186,1.1120,1.0140,0.0980,0.0000,0
187,1.0450,0.9470,0.0970,0.0010,0
188,1.0380,0.9370,0.1000,0.0000,0
189,1.0660,0.9620,0.1030,0.0010,0
190,1.0500,0.9480,0.1020,0.0000,0
191,1.0620,0.9640,0.0980,0.0000,0
192,1.1080,1.0090,0.0990,0.0000,0
193,1.1050,1.0060,0.0990,0.0000,0
194,1.0350,0.9370,0.0970,0.0010,0
195,1.0640,0.9660,0.0970,0.0010,0
196,1.0440,0.9460,0.0980,0.0000,0
197,1.0380,0.9410,0.0970,0.0000,0
198,1.0320,0.9350,0.0970,0.0000,0
199,1.0600,0.9550,0.1050,0.0000,0
200,1.1020,0.9950,0.1060,0.0010,0
201,1.0770,0.9780,0.0980,0.0010,0
202,1.0390,0.9400,0.0980,0.0010,0
203,1.0450,0.9480,0.0970,0.0000,0
204,1.0280,0.9310,0.0960,0.0010,0
205,1.0310,0.9340,0.0960,0.0010,0
206,1.0330,0.9370,0.0960,0.0000,0
207,1.0780,0.9660,0.1120,0.0000,0
208,1.1310,1.0340,0.0970,0.0000,0
209,1.0390,0.9400,0.0980,0.0010,0
210,1.0350,0.9350,0.0990,0.0010,0
211,1.0450,0.9450,0.1000,0.0000,0
212,1.0330,0.9340,0.0990,0.0000,0
213,1.0420,0.9450,0.0960,0.0010,0
214,1.0380,0.9390,0.0990,0.0000,0
215,1.1210,1.0130,0.1070,0.0010,0
