iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
189,32.114,2.415,0.640,0.009,29.041,0
190,33.644,2.243,0.594,0.031,30.768,0
191,34.241,2.224,0.526,0.008,31.475,0
192,33.954,2.700,0.672,0.009,30.565,0
193,31.794,2.755,0.681,0.007,28.341,0
194,33.757,2.494,0.643,0.009,30.602,0
195,34.860,2.910,0.667,0.007,31.268,0
196,31.138,2.915,0.808,0.017,27.388,0
197,33.449,2.362,0.519,0.011,30.548,0
198,33.195,2.427,0.627,0.008,30.117,0
199,33.419,2.205,0.541,0.008,30.657,0
200,32.944,2.259,0.570,0.014,30.093,0
201,34.093,2.119,0.546,0.006,31.415,0
202,33.074,2.291,0.591,0.009,30.175,0
203,32.931,2.170,0.545,0.013,30.196,0
204,32.796,2.183,0.475,0.007,30.124,0
205,33.282,1.918,0.500,0.005,30.851,0
206,34.788,2.435,0.570,0.007,31.768,0
207,33.303,2.575,0.744,0.018,29.957,0
208,33.055,3.056,0.959,0.009,29.022,0
209,33.427,2.646,0.642,0.009,30.121,0
210,35.054,2.352,0.601,0.009,32.083,0
211,31.854,3.054,0.856,0.024,27.910,0
212,32.396,2.271,0.648,0.016,29.452,0
213,33.124,2.140,0.499,0.007,30.472,0
214,33.607,2.213,0.565,0.013,30.807,0
215,32.584,2.563,0.702,0.007,29.302,0
216,33.477,1.867,0.635,0.005,30.962,0
217,34.553,2.366,0.507,0.009,31.663,0
218,35.056,2.427,0.660,0.010,31.949,0
219,30.592,2.643,0.672,0.008,27.260,0
220,33.591,2.374,0.544,0.012,30.654,0
221,32.792,2.309,0.617,0.031,29.826,0
222,33.878,2.239,0.553,0.012,31.066,0
223,32.651,2.670,0.712,0.009,29.250,0
224,34.313,2.123,0.547,0.006,31.630,0
225,34.523,2.442,0.624,0.008,31.440,0
226,31.357,2.690,0.727,0.016,27.913,0
227,33.171,2.197,0.551,0.014,30.401,0
228,33.856,2.358,0.520,0.007,30.963,0
229,33.993,2.312,0.575,0.009,31.070,0
230,34.415,2.667,0.687,0.009,31.043,0
231,31.384,2.845,0.792,0.011,27.726,0
232,32.512,2.236,0.566,0.014,29.687,0
233,33.761,2.094,0.564,0.006,31.090,0
234,34.076,2.283,0.537,0.008,31.240,0
235,34.206,2.458,0.687,0.017,31.035,0
236,34.149,2.771,0.915,0.009,30.443,0
237,30.410,4.280,0.991,0.009,25.119,0
238,34.922,2.354,0.530,0.007,32.023,0
239,32.942,2.428,0.634,0.009,29.862,0
240,32.293,2.574,0.723,0.008,28.979,0
241,34.730,2.168,0.579,0.013,31.961,0
242,33.183,2.630,0.674,0.008,29.861,0
243,33.145,2.466,0.718,0.017,29.934,0
